LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,0.4800000000000001,2.2,3.023717764620709,2.696676277056026,mp-995393,Li2 S8,2,2.1989,0.0,-0.611415285666665
0.0,3.0900000000000003,4.0,1.813696887603712,0.0,mp-2659,Li1 N3,2,3.6364,0.0,-0.205821525729167
0.0,0.9075000000000004,4.0,5.182647149302039,6.229607338603173,mp-27687,Li8 P56,2,1.688199999999999,0.0,-0.190700947499999
0.0,3.36,4.0,2.5086691287719427,4.491665376872503,mp-570935,Li2 I2,2,4.3818,0.0,-1.422324364166667
0.0,3.96,4.0,2.292948150142256,4.112524161735372,mp-976280,Li2 Br2,2,4.9348,0.0,-1.835894534166666
0.0,9.0,6.0,1.0208567589726103,0.0,mp-1138,Li1 F1,2,8.7161,0.0,-3.188945303333333
0.0,6.54,6.0,1.2710611197548278,0.0,mp-22905,Li1 Cl1,2,6.25,0.0,-2.025595019583333
0.0,3.660000000000001,6.0,1.0043095619951423,0.0,mp-23703,Li1 H1,2,2.981,0.0,-0.489362137708333
0.0,2.375999999999999,3.6,4.060637664691392,5.8266570112309966,mp-28327,Li4 Ga4 Br12,3,2.9955,0.0,-1.419440549666665
0.0,2.016,3.8,4.418792792983011,6.3746834900065785,mp-29345,Li4 Ga4 I12,3,2.2732,0.0,-1.006771274666666
0.0,1.6400000000000003,2.0,2.2226345464754687,2.5069702912910947,mp-27281,Li2 H6 O4,3,4.7458,0.0,-1.535539436180555
0.0,1.57,4.0,2.852311026222335,4.194175339998345,mp-20187,Li2 In2 Se4,3,1.5731000000000002,0.0,-1.056964433697915
0.0,1.12,4.0,3.086408579046074,4.529656000752035,mp-20782,Li2 In2 Te4,3,1.3847,0.0,-0.8370955545833321
0.0,2.4600000000000004,4.0,2.003847313088068,2.650198856223176,mp-14232,Li2 B2 O4,3,7.281099999999999,0.0,-2.756154538749999
0.0,2.06,4.0,2.1647317356302285,2.892521303270559,mp-3524,Li2 P2 N4,3,3.801599999999999,0.0,-1.025848460535714
0.0,1.12,4.0,3.0365240977861987,4.351651396468926,mp-4586,Li2 Al2 Te4,3,2.4411,0.0,-0.925174646666666
0.0,1.12,4.0,3.0256893751505256,4.346739733411671,mp-5048,Li2 Ga2 Te4,3,1.5885,0.0,-0.839710808541665
0.0,3.2800000000000007,3.333333333333333,1.888878623844464,2.46399078,mp-23856,Li2 H2 O2,3,4.0057,0.0,-1.778912719861109
0.0,1.4933333333333334,6.0,2.703224736005296,3.4203443657287504,mp-4495,K2 Li2 Te2,3,2.4134,0.0,-1.209200204083335
