material_id,LLB,SBI,AFC,LASD,LLSD,Superionic
mp-6674,0,1.4760000000000004,5.6,3.247077919344092,5.709354671100272,0
mp-8609,0,4.541538461538463,4.615384615384615,2.403861930029377,2.6533633868425075,0
mp-28567,0,2,4,2.568878252222223,3.820556377493909,0
mp-12160,0,3.625263157894738,4.7368421052631575,5.153677257686244,5.39551366,1
mp-6787,0,0.7569230769230768,3.230769230769231,5.3705239219224685,6.079390803320971,0
mp-560072,0,1.662608695652174,3.4782608695652173,4.026963135538292,4.725832033192217,0
mp-7941,0,5.676923076923076,5.538461538461538,2.311044749497909,2.690740402756606,0
mp-13772,0,1.8811764705882328,4.352941176470588,4.8180711401852125,5.227736447879736,0
mp-8452,0,2.1333333333333333,6,2.299648618611849,2.834975619433555,0
mp-770932,0,1.9680000000000004,4,2.4304061493974496,2.667838373003196,1
mp-12829,0,2,4,3.265748605394018,5.771002133240248,0
mp-27811,0,2.186666666666666,3.555555555555556,4.0332694271838525,4.062066104099009,0
mp-8180,0,2.952000000000001,3.6,2.226557568585364,3.651944337074754,0
mp-7971,0,0.7380000000000001,6,3.4220973281624607,0,0
mp-8449,0,2.186666666666667,4.111111111111111,2.8976432581503584,2.709922968661856,0
mp-558045,0,2.4599999999999995,4.5,3.726890870699336,4.488515818,0
mp-562394,0,0.5466666666666667,3.4814814814814814,6.585195803825583,7.972908981579977,0
mp-510073,0,1.0299999999999998,2.5,4.095306065511535,5.398064323882333,0
mp-7744,0,1.6400000000000003,2.6666666666666665,2.619856554782714,2.9659687811040003,1
mp-989562,0,1.8,4.8,2.565209795558489,0,0
mp-8892,0,3,4,3.6435533706211074,4.930005962,0
mp-554076,0,1.3333333333333337,5,3.780397004060027,4.584472163261872,0
mp-532413,0,1.546399999999997,4.12,5.590431070465329,5.823631467,1
mp-558219,0,0.5818181818181818,3.727272727272727,3.733549669318573,4.457717850742756,0
mp-29410,0,1.4222222222222225,3.111111111111111,3.331262903265946,3.830401910943495,1
mp-676361,0,3.9240000000000057,4.8,4.350608455562679,5.075020359395329,1
mp-643069,0,1.9680000000000004,2.8,3.729297200649421,4.431363666094161,1
mp-34477,0,2.4,6,2.8868387575121144,3.957052077774188,0
mp-676109,0,3.924000000000009,4.8,9.511975307761976,10.181401373435088,1
mp-559238,0,1.8285714285714292,4.857142857142857,4.240487002753128,5.032007503561365,1
mp-866665,0,0.2928000000000001,2.52,3.5527049545434006,3.924191999999993,1
mp-8751,0,2.1333333333333333,4.333333333333333,2.472833788551022,3.1196158256302216,0
mp-15789,0,2.4,6,2.3126112233192515,0,0
mp-15790,0,2.4,6,2.307592794069058,0,0
mp-15791,0,2.4,6,2.2999057728946366,0,0
mp-561095,0,0.6150000000000001,4.25,3.745574819942172,6.378886382669901,0
mp-8430,0,2.1333333333333333,6,2.412441657616489,3.048849130512361,0
mp-22905,0,6.54,6,1.2710611197548278,0,0
